,Strategy,Status,Symbol,Date,Direction,Type,Req Qty,Filled Qty,Entry,Exit,CMP,Pnl,Pnl%,NetPnl,NetPnl%,Capital,Final Value,Brokerage,Trade ID,Entry Time,Exit Time
1,Aditi,completed,BAJAJFINSV,2023-08-04,Long,CNC,6,6,1484.4,1543.3,1550,353.4,3.97,317.24,3.56,8906.400000000001,9259.8,36.16,6763e332-7e3f-4796-b2b7-8c37a6d2ed88,2023-08-04 15:27:14,2023-09-08 10:27:45
2,Aditi,completed,BRITANNIA,2023-08-07,Long,CNC,2,2,4660.05,4697.7,4694.1,75.3,0.81,38.53,0.41,9320.1,9395.4,36.77,a339ef12-09c8-4805-83b9-73aa0541e9c3,2023-08-07 15:21:17,2023-11-22 10:19:26
3,Aditi,completed,SBIN,2023-08-09,Long,CNC,17,17,573.6,596.6,596.55,391,4.01,352.99,3.62,9751.2,10142.2,38.01,71078591-e5d0-49f3-bcd2-41b96b15bb51,2023-08-09 15:21:17,2023-09-13 14:16:10
4,Aditi,completed,ASIANPAINT,2023-08-10,Long,CNC,3,3,3235.4,3400,3402.2,493.8,5.09,455.78,4.7,9706.2,10200,38.02,58f521db-6ffc-41d4-874a-80a66d811575,2023-08-10 15:21:19,2024-01-01 09:56:05
5,Aditi,completed,BAJAJ-AUTO,2023-08-11,Long,CNC,2,2,4594.45,4795.45,4794.95,402,4.37,365.19,3.97,9188.9,9590.9,36.81,872cdd73-91fa-4d39-b2f8-3024cddb122a,2023-08-11 15:21:17,2023-09-11 13:05:48
6,Aditi,completed,APOLLOHOSP,2023-08-14,Long,CNC,2,2,4822.5,4974.25,4975,303.5,3.15,265.8,2.76,9645,9948.5,37.7,f2e0ccbc-3bb9-4d36-a719-e71c9ffc94fa,2023-08-14 15:21:17,2023-08-23 10:55:08
7,Aditi,completed,UPL,2023-08-16,Long,CNC,16,16,589.9,608.9,609.4,304,3.22,266.75,2.83,9438.4,9742.4,37.25,4f63ecb8-be15-44a9-abf4-530dce31b72c,2023-08-16 15:21:17,2023-09-05 09:18:20
8,Aditi,completed,BAJFINANCE,2023-08-17,Long,CNC,1,1,6911.9,7135.2,7123.2,223.3,3.23,191.68,2.77,6911.9,7135.2,31.62,97af8a73-84ab-4bf2-90e0-0ca3d3f9b9a5,2023-08-17 15:21:18,2023-08-22 11:40:18
9,Aditi,completed,KOTAKBANK,2023-08-18,Long,CNC,5,5,1749.88,1827.65,1827.2,388.85,4.44,352.99,4.03,8749.400000000001,9138.25,35.86,25a72dda-30d6-42a6-bcb3-885e7c33414d,2023-08-18 15:21:17,2023-09-13 12:44:37
10,Aditi,completed,HEROMOTOCO,2023-08-21,Long,CNC,3,3,2930.05,3087.75,3076.55,473.1,5.38,437.07,4.97,8790.150000000001,9263.25,36.03,544b99d0-6628-4fb2-be90-6b9f4ca0af9d,2023-08-21 15:21:18,2023-09-18 09:41:44
11,Aditi,completed,HDFCBANK,2023-08-22,Long,CNC,6,6,1581.5,1645.3,1645.2,382.8,4.03,345.36,3.64,9489,9871.8,37.44,cd609f82-bca0-4ee5-adae-2c1be487c080,2023-08-22 15:21:23,2023-09-13 12:45:23
12,Aditi,completed,BPCL,2023-08-23,Long,CNC,29,29,344.7,355.4,356.15,310.3,3.1,271.72,2.72,9996.3,10306.599999999999,38.58,2be45a20-1f7c-413e-9539-e730ba71351b,2023-08-23 15:21:24,2023-08-29 09:26:39
13,Aditi,completed,GRASIM,2023-08-24,Long,CNC,5,5,1779.15,1844,1844,324.25,3.64,288.14,3.24,8895.75,9220,36.11,e0b5f674-3f8c-4449-bbbd-aa1c6df86593,2023-08-24 15:21:24,2023-09-04 10:30:36
14,Aditi,completed,JSWSTEEL,2023-08-25,Long,CNC,12,12,772.42916667,817.6,820.55,542.05,5.85,504.92,5.45,9269.15000004,9811.2,37.13,dbd5ed8e-e3ab-48a3-966f-ec73777018c0,2023-08-25 15:21:24,2023-09-04 10:29:50
15,Aditi,completed,SUNPHARMA,2023-08-29,Long,CNC,9,9,1111.1,1146.87222222,1147.75,321.95,3.22,283.35,2.83,9999.9,10321.849999979999,38.6,972300df-8166-400f-b486-bbee4908df93,2023-08-29 15:21:23,2023-09-06 10:55:04
16,Aditi,completed,DRREDDY,2023-08-30,Long,CNC,1,1,5644.2,5926.15,5931.3,281.95,5,253.12,4.48,5644.2,5926.15,28.83,cd2bfa64-ee57-477f-a30c-00f332326bd1,2023-08-30 15:21:25,2024-01-03 15:20:45
17,Aditi,completed,ADANIENT,2023-08-31,Long,CNC,4,4,2419,2499.425,2500,321.7,3.32,283.92,2.93,9676,9997.7,37.78,759d9009-0aff-47bc-a7af-0a4e52f624f0,2023-08-31 15:21:23,2023-09-05 12:09:12
